city,date,PM2.5,AQI
Beijing,20140928,63.39130435,442.2608696
Beijing,20140929,51.41666667,434.2777778
Beijing,20140930,26.17391304,417.4492754
Beijing,20141001,77.20833333,451.4722222
Beijing,20141002,62.41666667,441.6111111
Beijing,20141003,117.9583333,478.6388889
Beijing,20141004,74.04166667,449.3611111
Beijing,20141005,33.68181818,422.4545455
Beijing,20141006,35.04166667,423.3611111
Beijing,20141007,144.5,496.3333333
Beijing,20141008,286.6086957,591.0724638
Beijing,20141009,347,631.3333333
Beijing,20141010,304.3636364,602.9090909
Beijing,20141011,184.9130435,523.2753623
Beijing,20141012,9.347826087,406.2318841
Beijing,20141013,19.26086957,412.8405797
Beijing,20141014,66.73913043,444.4927536
Beijing,20141015,66.08695652,444.057971
Beijing,20141016,52.875,435.25
Beijing,20141021,42.31578947,428.2105263
Beijing,20141022,87.08695652,458.057971
Beijing,20141023,141.0909091,494.0606061
Beijing,20141024,260.7826087,573.8550725
Beijing,20141025,354.2083333,636.1388889
Beijing,20141026,73.91666667,449.2777778
Beijing,20141027,18.7,412.4666667
Beijing,20141031,179.9166667,519.9444444
Beijing,20141101,46.83333333,431.2222222
Beijing,20141102,6.090909091,404.0606061
Beijing,20141103,29.47619048,419.6507937
Beijing,20141104,131.4782609,487.6521739
Beijing,20141105,72.29166667,448.1944444
Beijing,20141106,13.47826087,408.9855072
Beijing,20141107,49.16666667,432.7777778
Beijing,20141108,75.60869565,450.4057971
Beijing,20141109,63.75,442.5
Beijing,20141110,77,451.3333333
Beijing,20141111,42.66666667,428.4444444
Beijing,20141112,5.952380952,403.968254
Beijing,20141113,25.95652174,417.3043478
Beijing,20141114,43.04545455,428.6969697
Beijing,20141115,168,512
Beijing,20141116,105.875,470.5833333
Beijing,20141117,24.43478261,416.2898551
Beijing,20141118,86.7826087,457.8550725
Beijing,20141119,306.1052632,604.0701754
Beijing,20141120,341.3846154,627.5897436
Beijing,20141121,75.64285714,450.4285714
Beijing,20141122,43.40909091,428.9393939
Beijing,20141123,109.1666667,472.7777778
Beijing,20141124,91.1,460.7333333
Beijing,20141125,173.8333333,515.8888889
Beijing,20141126,292.5454545,595.030303
Beijing,20141127,71.28571429,447.5238095
Beijing,20141128,97.91304348,465.2753623
Beijing,20141129,290.75,593.8333333
Beijing,20141130,77.875,451.9166667
Beijing,20141201,10.86956522,407.2463768
Beijing,20141202,49.15789474,432.7719298
Beijing,20141203,18.95652174,412.6376812
Beijing,20141204,7.826086957,405.2173913
Beijing,20141205,41.31818182,427.5454545
Beijing,20141206,69.41666667,446.2777778
Beijing,20141207,47.04166667,431.3611111
Beijing,20141208,50.16666667,433.4444444
